6.5750,24.00
6.4210,21.60
7.1850,34.70
6.9980,33.40
7.1470,36.20
6.4300,28.70
6.0120,22.90
6.1720,27.10
5.6310,16.50
6.0040,18.90
6.3770,15.00
6.0090,18.90
5.8890,21.70
5.9490,20.40
6.0960,18.20
5.8340,19.90
5.9350,23.10
5.9900,17.50
5.4560,20.20
5.7270,18.20
5.5700,13.60
5.9650,19.60
6.1420,15.20
5.8130,14.50
5.9240,15.60
5.5990,13.90
5.8130,16.60
6.0470,14.80
6.4950,18.40
6.6740,21.00
5.7130,12.70
6.0720,14.50
5.9500,13.20
5.7010,13.10
6.0960,13.50
5.9330,18.90
5.8410,20.00
5.8500,21.00
5.9660,24.70
6.5950,30.80
7.0240,34.90
6.7700,26.60
6.1690,25.30
6.2110,24.70
6.0690,21.20
5.6820,19.30
5.7860,20.00
6.0300,16.60
5.3990,14.40
5.6020,19.40
5.9630,19.70
6.1150,20.50
6.5110,25.00
5.9980,23.40
5.8880,18.90
7.2490,35.40
6.3830,24.70
6.8160,31.60
6.1450,23.30
5.9270,19.60
5.7410,18.70
5.9660,16.00
6.4560,22.20
6.7620,25.00
7.1040,33.00
6.2900,23.50
5.7870,19.40
5.8780,22.00
5.5940,17.40
5.8850,20.90
6.4170,24.20
5.9610,21.70
6.0650,22.80
6.2450,23.40
6.2730,24.10
6.2860,21.40
6.2790,20.00
6.1400,20.80
6.2320,21.20
5.8740,20.30
6.7270,28.00
6.6190,23.90
6.3020,24.80
6.1670,22.90
6.3890,23.90
6.6300,26.60
6.0150,22.50
6.1210,22.20
7.0070,23.60
7.0790,28.70
6.4170,22.60
6.4050,22.00
6.4420,22.90
6.2110,25.00
6.2490,20.60
6.6250,28.40
6.1630,21.40
8.0690,38.70
7.8200,43.80
7.4160,33.20
6.7270,27.50
6.7810,26.50
6.4050,18.60
6.1370,19.30
6.1670,20.10
5.8510,19.50
5.8360,19.50
6.1270,20.40
6.4740,19.80
6.2290,19.40
6.1950,21.70
6.7150,22.80
5.9130,18.80
6.0920,18.70
6.2540,18.50
5.9280,18.30
6.1760,21.20
6.0210,19.20
5.8720,20.40
5.7310,19.30
5.8700,22.00
6.0040,20.30
5.9610,20.50
5.8560,17.30
5.8790,18.80
5.9860,21.40
5.6130,15.70
5.6930,16.20
6.4310,18.00
5.6370,14.30
6.4580,19.20
6.3260,19.60
6.3720,23.00
5.8220,18.40
5.7570,15.60
6.3350,18.10
5.9420,17.40
6.4540,17.10
5.8570,13.30
6.1510,17.80
6.1740,14.00
5.0190,14.40
5.4030,13.40
5.4680,15.60
4.9030,11.80
6.1300,13.80
5.6280,15.60
4.9260,14.60
5.1860,17.80
5.5970,15.40
6.1220,21.50
5.4040,19.60
5.0120,15.30
5.7090,19.40
6.1290,17.00
6.1520,15.60
5.2720,13.10
6.9430,41.30
6.0660,24.30
6.5100,23.30
6.2500,27.00
7.4890,50.00
7.8020,50.00
8.3750,50.00
5.8540,22.70
6.1010,25.00
7.9290,50.00
5.8770,23.80
6.3190,23.80
6.4020,22.30
5.8750,17.40
5.8800,19.10
5.5720,23.10
6.4160,23.60
5.8590,22.60
6.5460,29.40
6.0200,23.20
6.3150,24.60
6.8600,29.90
6.9800,37.20
7.7650,39.80
6.1440,36.20
7.1550,37.90
6.5630,32.50
5.6040,26.40
6.1530,29.60
7.8310,50.00
6.7820,32.00
6.5560,29.80
7.1850,34.90
6.9510,37.00
6.7390,30.50
7.1780,36.40
6.8000,31.10
6.6040,29.10
7.8750,50.00
7.2870,33.30
7.1070,30.30
7.2740,34.60
6.9750,34.90
7.1350,32.90
6.1620,24.10
7.6100,42.30
7.8530,48.50
8.0340,50.00
5.8910,22.60
6.3260,24.40
5.7830,22.50
6.0640,24.40
5.3440,20.00
5.9600,21.70
5.4040,19.30
5.8070,22.40
6.3750,28.10
5.4120,23.70
6.1820,25.00
5.8880,23.30
6.6420,28.70
5.9510,21.50
6.3730,23.00
6.9510,26.70
6.1640,21.70
6.8790,27.50
6.6180,30.10
8.2660,44.80
8.7250,50.00
8.0400,37.60
7.1630,31.60
7.6860,46.70
6.5520,31.50
5.9810,24.30
7.4120,31.70
8.3370,41.70
8.2470,48.30
6.7260,29.00
6.0860,24.00
6.6310,25.10
7.3580,31.50
6.4810,23.70
6.6060,23.30
6.8970,22.00
6.0950,20.10
6.3580,22.20
6.3930,23.70
5.5930,17.60
5.6050,18.50
6.1080,24.30
6.2260,20.50
6.4330,24.50
6.7180,26.20
6.4870,24.40
6.4380,24.80
6.9570,29.60
8.2590,42.80
6.1080,21.90
5.8760,20.90
7.4540,44.00
8.7040,50.00
7.3330,36.00
6.8420,30.10
7.2030,33.80
7.5200,43.10
8.3980,48.80
7.3270,31.00
7.2060,36.50
5.5600,22.80
7.0140,30.70
8.2970,50.00
7.4700,43.50
5.9200,20.70
5.8560,21.10
6.2400,25.20
6.5380,24.40
7.6910,35.20
6.7580,32.40
6.8540,32.00
7.2670,33.20
6.8260,33.10
6.4820,29.10
6.8120,35.10
7.8200,45.40
6.9680,35.40
7.6450,46.00
7.9230,50.00
7.0880,32.20
6.4530,22.00
6.2300,20.10
6.2090,23.20
6.3150,22.30
6.5650,24.80
6.8610,28.50
7.1480,37.30
6.6300,27.90
6.1270,23.90
6.0090,21.70
6.6780,28.60
6.5490,27.10
5.7900,20.30
6.3450,22.50
7.0410,29.00
6.8710,24.80
6.5900,22.00
6.4950,26.40
6.9820,33.10
7.2360,36.10
6.6160,28.40
7.4200,33.40
6.8490,28.20
6.6350,22.80
5.9720,20.30
4.9730,16.10
6.1220,22.10
6.0230,19.40
6.2660,21.60
6.5670,23.80
5.7050,16.20
5.9140,17.80
5.7820,19.80
6.3820,23.10
6.1130,21.00
6.4260,23.80
6.3760,23.10
6.0410,20.40
5.7080,18.50
6.4150,25.00
6.4310,24.60
6.3120,23.00
6.0830,22.20
5.8680,19.30
6.3330,22.60
6.1440,19.80
5.7060,17.10
6.0310,19.40
6.3160,22.20
6.3100,20.70
6.0370,21.10
5.8690,19.50
5.8950,18.50
6.0590,20.60
5.9850,19.00
5.9680,18.70
7.2410,32.70
6.5400,16.50
6.6960,23.90
6.8740,31.20
6.0140,17.50
5.8980,17.20
6.5160,23.10
6.6350,24.50
6.9390,26.60
6.4900,22.90
6.5790,24.10
5.8840,18.60
6.7280,30.10
5.6630,18.20
5.9360,20.60
6.2120,17.80
6.3950,21.70
6.1270,22.70
6.1120,22.60
6.3980,25.00
6.2510,19.90
5.3620,20.80
5.8030,16.80
8.7800,21.90
3.5610,27.50
4.9630,21.90
3.8630,23.10
4.9700,50.00
6.6830,50.00
7.0160,50.00
6.2160,50.00
5.8750,50.00
4.9060,13.80
4.1380,13.80
7.3130,15.00
6.6490,13.90
6.7940,13.30
6.3800,13.10
6.2230,10.20
6.9680,10.40
6.5450,10.90
5.5360,11.30
5.5200,12.30
4.3680,8.80
5.2770,7.20
4.6520,10.50
5.0000,7.40
4.8800,10.20
5.3900,11.50
5.7130,15.10
6.0510,23.20
5.0360,9.70
6.1930,13.80
5.8870,12.70
6.4710,13.10
6.4050,12.50
5.7470,8.50
5.4530,5.00
5.8520,6.30
5.9870,5.60
6.3430,7.20
6.4040,12.10
5.3490,8.30
5.5310,8.50
5.6830,5.00
4.1380,11.90
5.6080,27.90
5.6170,17.20
6.8520,27.50
5.7570,15.00
6.6570,17.20
4.6280,17.90
5.1550,16.30
4.5190,7.00
6.4340,7.20
6.7820,7.50
5.3040,10.40
5.9570,8.80
6.8240,8.40
6.4110,16.70
6.0060,14.20
5.6480,20.80
6.1030,13.40
5.5650,11.70
5.8960,8.30
5.8370,10.20
6.2020,10.90
6.1930,11.00
6.3800,9.50
6.3480,14.50
6.8330,14.10
6.4250,16.10
6.4360,14.30
6.2080,11.70
6.6290,13.40
6.4610,9.60
6.1520,8.70
5.9350,8.40
5.6270,12.80
5.8180,10.50
6.4060,17.10
6.2190,18.40
6.4850,15.40
5.8540,10.80
6.4590,11.80
6.3410,14.90
6.2510,12.60
6.1850,14.10
6.4170,13.00
6.7490,13.40
6.6550,15.20
6.2970,16.10
7.3930,17.80
6.7280,14.90
6.5250,14.10
